Incidence Rate Report by State

"Cervix (All Stages^), 2018"

"All Races (includes Hispanic), Female, All Ages"

Sorted by Rate

State, FIPS,Met Healthy People Objective of 7.2?,"Age-Adjusted Incidence Rate([rate note]) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval","CI*Rank([rank note])","Lower CI (CI*Rank)","Upper CI (CI*Rank)",Average Annual Count,Recent Trend,"Recent 5-Year Trend ([trend note]) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Indiana(2)",18000,No,7.9 ,6.9, 8.9,21 , 7 , 35,268,stable,-1.1 ,-7.0, 5.3
"South Carolina(2)",45000,No,7.7 ,6.6, 8.8,22 , 7 , 38,214,falling,-1.1 ,-2.0, -0.2
"Georgia(7)",13000,No,7.5 ,6.8, 8.3,23 , 11 , 35,415,falling,-1.2 ,-1.8, -0.6
"Ohio(2)",39000,No,7.4 ,6.7, 8.2,24 , 12 , 36,450,stable,-0.4 ,-1.0, 0.2
"California(7)",06000,No,7.4 ,7, 7.8,25 , 16 , 32,1511,falling,-1.1 ,-1.6, -0.6
"Illinois(2)",17000,Yes,7.2 ,6.5, 7.9,26 , 15 , 38,491,falling,-1.5 ,-2.2, -0.9
"New York(7)",36000,Yes,7.2 ,6.7, 7.7,27 , 16 , 36,792,falling,-1.3 ,-1.7, -0.9
"Michigan(4)",26000,Yes,7.2 ,6.4, 8,28 , 14 , 39,356,falling,-1.0 ,-1.7, -0.3
"Pennsylvania(2)",42000,Yes,6.9 ,6.3, 7.6,29 , 18 , 40,478,falling,-0.7 ,-1.2, -0.2
"North Carolina(2)",37000,Yes,6.8 ,6.2, 7.6,30 , 17 , 41,389,falling,-1.0 ,-1.6, -0.3
"Hawaii(7)",15000,Yes,6.8 ,5, 9.1,31 , 4 , 49,51,falling,-1.9 ,-2.6, -1.2
"Oregon(2)",41000,Yes,6.5 ,5.5, 7.7,32 , 15 , 46,145,stable,0.2 ,-0.9, 1.3
"Washington(4)",53000,Yes,6.5 ,5.7, 7.4,33 , 19 , 44,250,stable,-0.5 ,-1.2, 0.1
"Maryland(2)",24000,Yes,6.4 ,5.5, 7.3,34 , 19 , 46,214,stable,-0.2 ,-1.6, 1.2
"Nebraska(2)",31000,Yes,6.3 ,4.7, 8.1,35 , 10 , 49,59,stable,-0.2 ,-1.8, 1.5
"Virginia(2)",51000,Yes,6.1 ,5.4, 6.9,36 , 25 , 46,277,falling,-1.0 ,-1.7, -0.4
"Wisconsin(2)",55000,Yes,6 ,5.1, 7,37 , 22 , 47,183,stable,-0.2 ,-1.2, 0.8
"Colorado(2)",08000,Yes,6 ,5.1, 7,38 , 21 , 48,173,falling,-1.0 ,-1.8, -0.2
"Arizona(2)",04000,Yes,5.8 ,5.1, 6.7,39 , 27 , 47,208,falling,-1.4 ,-2.1, -0.7
"Connecticut(7)",09000,Yes,5.7 ,4.7, 7,40 , 23 , 49,113,falling,-1.8 ,-2.3, -1.3
"Massachusetts(7)",25000,Yes,5.5 ,4.7, 6.3,41 , 30 , 48,201,falling,-1.5 ,-2.2, -0.7
"Montana(2)",30000,Yes,5.4 ,3.5, 7.9,42 , 11 , 49,30,stable,0.2 ,-1.9, 2.4
"New Hampshire(2)",33000,Yes,5.4 ,3.7, 7.5,43 , 14 , 49,37,falling,-2.9 ,-4.5, -1.3
"North Dakota(2)",38000,Yes,5.3 ,3, 8.6,44 , 5 , 49,18,stable,-0.5 ,-3.4, 2.5
"Utah(7)",49000,Yes,5.3 ,4.1, 6.7,45 , 26 , 49,73,stable,0.9 ,-1.8, 3.7
"South Dakota(2)",46000,Yes,5.3 ,3.2, 8.2,46 , 6 , 49,21,stable,0.3 ,-1.8, 2.5
"District of Columbia(2)",11001,Yes,5.1 ,3, 8.2,47 , 9 , 49,18,falling,-3.8 ,-5.9, -1.6
"Minnesota(2)",27000,Yes,4.5 ,3.7, 5.3,48 , 39 , 49,130,falling,-1.4 ,-2.3, -0.5
"Maine(2)",23000,Yes,4.3 ,2.9, 6.3,49 , 27 , 49,32,falling,-2.5 ,-4.0, -1.1
"Nevada(2)",32000,***,* ,*, *,* , * , *,15 or fewer,*,*,*,*
"Vermont(2)",50000,***,* ,*, *,* , * , *,15 or fewer,*,*,*,*

Created by statecancerprofiles.cancer.gov on 10/19/2022 3:37 pm.

State Cancer Registries may provide more current or more local data.


Trend
   Rising when 95% confidence interval of average annual percent change is above 0.
   Stable when 95% confidence interval of average annual percent change includes 0.
   Falling when 95% confidence interval of average annual percent change is below 0.

"[rate note] Incidence rates (cases per 100,000 population per year) are age-adjusted to the 2000 US standard population [http://www.seer.cancer.gov/stdpopulations/stdpop.19ages.html] (19 age groups: <1, 1-4, 5-9, ... , 80-84, 85+). Rates are for invasive cancer only (except for bladder cancer which is invasive and in situ) or unless otherwise specified. Rates calculated using SEER*Stat. Population counts for denominators are based on Census populations as modified [https://seer.cancer.gov/popdata/] by NCI. The 1969-2018 US Population Data File [https://seer.cancer.gov/popdata/] is used for SEER and NPCR incidence rates."
"[trend note] Incidence data come from different sources. Due to different years of data availability, most of the trends are AAPCs based on APCs but some are APCs calculated in SEER*Stat. Please refer to the source for each area for additional information."

Rates and trends are computed using different standards for malignancy. For more information see malignant.html.

"^ All Stages refers to any stage in the Surveillance, Epidemiology, and End Results (SEER) summary stage [ https://seer.cancer.gov/tools/ssm/ ]."
"[rank note]Results presented with the CI*Rank statistics help show the usefulness of ranks. For example, ranks for relatively rare diseases or less populated areas may be essentially meaningless because of their large variability, but ranks for more common diseases in densely populated regions can be very useful. More information about methodology can be found on the CI*Rank website."
Healthy People 2020 Objectives [ https://www.healthypeople.gov/ ]provided by the Centers for Disease Control and Prevention [ https://www.cdc.gov ]. 

"* Data has been suppressed to ensure confidentiality and stability of rate estimates.  Counts are suppressed if fewer than 16 records were reported in a specific area-sex-race category. If an average count of 3 is shown, the total number of cases for the time period is 16 or more which exceeds suppression threshold (but is rounded to 3)."

"1 Source: National Program of Cancer Registries [ https://www.cdc.gov/cancer/npcr/index.htm ] and Surveillance, Epidemiology, and End Results [ http://seer.cancer.gov ] SEER*Stat Database (2001-2018) - United States Department of Health and Human Services, Centers for Disease Control and Prevention and National Cancer Institute. Based on the 2020 submission."
"2 Source: National Program of Cancer Registries SEER*Stat Database (2001-2018) - United States Department of Health and Human Services, Centers for Disease Control and Prevention (based on the 2020 submission).  [ https://www.cdc.gov/cancer/npcr/index.htm ]"
"4 Source: National Program of Cancer Registries [ https://www.cdc.gov/cancer/npcr/index.htm ] and Surveillance, Epidemiology, and End Results [ http://seer.cancer.gov ] SEER*Stat Database (2001-2018) - United States Department of Health and Human Services, Centers for Disease Control and Prevention and National Cancer Institute. Based on the 2020 submission."
7 Source: SEER November 2020 submission.
"8 Source: Incidence data provided by the SEER Program. ( http://seer.cancer.gov ) AAPCs are calculated by the Joinpoint Regression Program ( https://surveillance.cancer.gov/joinpoint/ ) and are based on APCs. Data are age-adjusted to the 2000 US standard population ( http://www.seer.cancer.gov/stdpopulations/single_age.html ) (19 age groups: <1, 1-4, 5-9, ... , 80-84,85+). Rates are for invasive cancer only (except for bladder cancer which is invasive and in situ) or unless otherwise specified. Population counts for denominators are based on Census populations as modifed by NCI. The 1969-2018 US Population Data ( http://seer.cancer.gov/popdata/ ) File is used with SEER November 2020 data. "


"Interpret Rankings provides insight into interpreting cancer incidence statistics.  When the population size for a denominator is small, the rates may be unstable.  A rate is unstable when a small change in the numerator (e.g., only one or two additional cases) has a dramatic effect on the calculated rate."

Data for United States does not include Puerto Rico.
