CancerType,Year,Race,Sex,AgeGroup,RateType,DataType,Rate,Count,Population
Other Urinary Organs,2019,American Indian/Alaska Native,Male and Female, All Ages,Age-adjusted Rate,Incidence,Data Suppressed,Data Suppressed,Data Suppressed
Pancreas,2019,American Indian/Alaska Native,Male and Female, All Ages,Age-adjusted Rate,Incidence,8.6,338,4781187
Skin excluding Basal and Squamous,2019,American Indian/Alaska Native,Male and Female, All Ages,Age-adjusted Rate,Incidence,5.9,237,4781187
Vulva,2019,American Indian/Alaska Native,Male and Female, All Ages,Age-adjusted Rate,Incidence,1.8,37,2385217
Tonsil,2019,All Races and Ethnicities,Male and Female, All Ages,Age-adjusted Rate,Incidence,2.3,9315,325239182
Myeloma,2019,American Indian/Alaska Native,Male and Female, All Ages,Age-adjusted Rate,Incidence,4.3,172,4781187
Oropharynx,2019,American Indian/Alaska Native,Male and Female, All Ages,Age-adjusted Rate,Incidence,0.5,21,4781187
Other Non-Epithelial Skin,2019,American Indian/Alaska Native,Male and Female, All Ages,Age-adjusted Rate,Incidence,0.6,23,4781187
Tonsil,2019,American Indian/Alaska Native,Male and Female, All Ages,Age-adjusted Rate,Incidence,1.3,61,4781187
Larynx,2019,American Indian/Alaska Native,Male and Female, All Ages,Age-adjusted Rate,Incidence,2.2,88,4781187
Non-Hodgkin Lymphoma,2019,American Indian/Alaska Native,Male and Female, All Ages,Age-adjusted Rate,Incidence,10.3,404,4781187
Other Biliary,2019,American Indian/Alaska Native,Male and Female, All Ages,Age-adjusted Rate,Incidence,1.5,59,4781187
Salivary Gland,2019,American Indian/Alaska Native,Male and Female, All Ages,Age-adjusted Rate,Incidence,0.5,20,4781187
Testis,2019,American Indian/Alaska Native,Male and Female, All Ages,Age-adjusted Rate,Incidence,4.0,94,2395970
Trachea Mediastinum and Other Respiratory Organs,2019,American Indian/Alaska Native,Male and Female, All Ages,Age-adjusted Rate,Incidence,Data Suppressed,Data Suppressed,Data Suppressed
Acute Lymphocytic,2019,American Indian/Alaska Native,Male and Female, All Ages,Age-adjusted Rate,Incidence,1.2,58,4781187
Lymphomas,2019,All Races and Ethnicities,Male and Female, All Ages,Age-adjusted Rate,Incidence,20.7,80100,325239182
Male Genital System,2019,All Races and Ethnicities,Male and Female, All Ages,Age-adjusted Rate,Incidence,118.3,235378,160142831
Melanomas of the Skin,2019,All Races and Ethnicities,Male and Female, All Ages,Age-adjusted Rate,Incidence,22.7,88059,325239182
Anus Anal Canal and Anorectum,2019,American Indian/Alaska Native,Male and Female, All Ages,Age-adjusted Rate,Incidence,1.1,47,4781187
Chronic Myeloid,2019,American Indian/Alaska Native,Male and Female, All Ages,Age-adjusted Rate,Incidence,1.2,50,4781187
Endocrine System,2019,American Indian/Alaska Native,Male and Female, All Ages,Age-adjusted Rate,Incidence,7.7,333,4781187
Lymphomas,2019,American Indian/Alaska Native,Male and Female, All Ages,Age-adjusted Rate,Incidence,11.3,450,4781187
Liver and Intrahepatic Bile Duct,2019,American Indian/Alaska Native,Male and Female, All Ages,Age-adjusted Rate,Incidence,10.5,434,4781187
Oral Cavity and Pharynx,2019,American Indian/Alaska Native,Male and Female, All Ages,Age-adjusted Rate,Incidence,6.7,289,4781187
Other Endocrine including Thymus,2019,American Indian/Alaska Native,Male and Female, All Ages,Age-adjusted Rate,Incidence,0.4,19,4781187
Thyroid,2019,American Indian/Alaska Native,Male and Female, All Ages,Age-adjusted Rate,Incidence,7.2,314,4781187
Acute Myeloid,2019,American Indian/Alaska Native,Male and Female, All Ages,Age-adjusted Rate,Incidence,2.3,93,4781187
Hodgkin Lymphoma,2019,American Indian/Alaska Native,Male and Female, All Ages,Age-adjusted Rate,Incidence,1.0,46,4781187
Other Male Genital Organs,2019,American Indian/Alaska Native,Male and Female, All Ages,Age-adjusted Rate,Incidence,Data Suppressed,Data Suppressed,Data Suppressed
Respiratory System,2019,American Indian/Alaska Native,Male and Female, All Ages,Age-adjusted Rate,Incidence,40.1,1532,4781187
Retroperitoneum,2019,American Indian/Alaska Native,Male and Female, All Ages,Age-adjusted Rate,Incidence,Data Suppressed,Data Suppressed,Data Suppressed
Mesothelioma,2019,American Indian/Alaska Native,Male and Female, All Ages,Age-adjusted Rate,Incidence,0.4,16,4781187
Urinary System,2019,American Indian/Alaska Native,Male and Female, All Ages,Age-adjusted Rate,Incidence,24.6,981,4781187
Stomach,2019,All Races and Ethnicities,Male and Female, All Ages,Age-adjusted Rate,Incidence,6.1,24382,325239182
Male and Female Breast,2019,American Indian/Alaska Native,Male and Female, All Ages,Age-adjusted Rate,Incidence,38.5,1587,4781187
Cranial Nerves and Other Nervous System,2019,American Indian/Alaska Native,Male and Female, All Ages,Age-adjusted Rate,Incidence,Data Suppressed,Data Suppressed,Data Suppressed
Kaposi Sarcoma,2019,American Indian/Alaska Native,Male and Female, All Ages,Age-adjusted Rate,Incidence,Data Suppressed,Data Suppressed,Data Suppressed
Leukemias,2019,American Indian/Alaska Native,Male and Female, All Ages,Age-adjusted Rate,Incidence,7.0,289,4781187
Other Digestive Organs,2019,American Indian/Alaska Native,Male and Female, All Ages,Age-adjusted Rate,Incidence,Data Suppressed,Data Suppressed,Data Suppressed
Other Leukemias,2019,All Races and Ethnicities,Male and Female, All Ages,Age-adjusted Rate,Incidence,1.4,5456,325239182
Prostate,2019,All Races and Ethnicities,Male and Female, All Ages,Age-adjusted Rate,Incidence,111.6,224733,160142831
Rectum and Rectosigmoid Junction,2019,All Races and Ethnicities,Male and Female, All Ages,Age-adjusted Rate,Incidence,10.9,42123,325239182
Corpus,2019,American Indian/Alaska Native,Male and Female, All Ages,Age-adjusted Rate,Incidence,16.8,376,2385217
Eye and Orbit,2019,American Indian/Alaska Native,Male and Female, All Ages,Age-adjusted Rate,Incidence,0.5,22,4781187
Nose Nasal Cavity and Middle Ear,2019,American Indian/Alaska Native,Male and Female, All Ages,Age-adjusted Rate,Incidence,0.6,22,4781187
Pleura,2019,American Indian/Alaska Native,Male and Female, All Ages,Age-adjusted Rate,Incidence,Data Suppressed,Data Suppressed,Data Suppressed
Small Intestine,2019,American Indian/Alaska Native,Male and Female, All Ages,Age-adjusted Rate,Incidence,1.3,54,4781187
Corpus and Uterus NOS,2019,Asian/Pacific Islander,Male and Female, All Ages,Age-adjusted Rate,Incidence,21.5,2668,11316721
Gallbladder,2019,Asian/Pacific Islander,Male and Female, All Ages,Age-adjusted Rate,Incidence,1.3,272,21796562
Liver and Intrahepatic Bile Duct,2019,Asian/Pacific Islander,Male and Female, All Ages,Age-adjusted Rate,Incidence,11.4,2484,21796562
Oral Cavity and Pharynx,2019,Asian/Pacific Islander,Male and Female, All Ages,Age-adjusted Rate,Incidence,7.9,1758,21796562
Kidney and Renal Pelvis,2019,Asian/Pacific Islander,Male and Female, All Ages,Age-adjusted Rate,Incidence,7.9,1740,21796562
Bones and Joints,2019,Asian/Pacific Islander,Male and Female, All Ages,Age-adjusted Rate,Incidence,0.8,161,21796562
Corpus,2019,Asian/Pacific Islander,Male and Female, All Ages,Age-adjusted Rate,Incidence,20.7,2569,11316721
Eye and Orbit,2019,Asian/Pacific Islander,Male and Female, All Ages,Age-adjusted Rate,Incidence,0.2,42,21796562
Nose Nasal Cavity and Middle Ear,2019,Asian/Pacific Islander,Male and Female, All Ages,Age-adjusted Rate,Incidence,0.5,122,21796562
Pleura,2019,Asian/Pacific Islander,Male and Female, All Ages,Age-adjusted Rate,Incidence,Data Suppressed,Data Suppressed,Data Suppressed
Small Intestine,2019,Asian/Pacific Islander,Male and Female, All Ages,Age-adjusted Rate,Incidence,1.3,284,21796562
Brain,2019,Asian/Pacific Islander,Male and Female, All Ages,Age-adjusted Rate,Incidence,3.2,687,21796562
Chronic Lymphocytic,2019,Asian/Pacific Islander,Male and Female, All Ages,Age-adjusted Rate,Incidence,0.9,196,21796562
Digestive System,2019,Asian/Pacific Islander,Male and Female, All Ages,Age-adjusted Rate,Incidence,65.9,14187,21796562
Acute Myeloid,2019,Asian/Pacific Islander,Male and Female, All Ages,Age-adjusted Rate,Incidence,3.3,704,21796562
Hodgkin Lymphoma,2019,Asian/Pacific Islander,Male and Female, All Ages,Age-adjusted Rate,Incidence,1.3,298,21796562
Floor of Mouth,2019,Asian/Pacific Islander,Male and Female, All Ages,Age-adjusted Rate,Incidence,0.2,45,21796562
Gum and Other Mouth,2019,Asian/Pacific Islander,Male and Female, All Ages,Age-adjusted Rate,Incidence,1.7,369,21796562
Ureter,2019,American Indian/Alaska Native,Male and Female, All Ages,Age-adjusted Rate,Incidence,Data Suppressed,Data Suppressed,Data Suppressed
Uterus NOS,2019,American Indian/Alaska Native,Male and Female, All Ages,Age-adjusted Rate,Incidence,1.0,19,2385217
All Sites (comparable to ICD-O-2),2019,Asian/Pacific Islander,Male and Female, All Ages,Age-adjusted Rate,Incidence,282.7,61760,21796562
Cervix,2019,Asian/Pacific Islander,Male and Female, All Ages,Age-adjusted Rate,Incidence,5.7,686,11316721
Larynx,2019,Asian/Pacific Islander,Male and Female, All Ages,Age-adjusted Rate,Incidence,1.0,208,21796562
Non-Hodgkin Lymphoma,2019,Asian/Pacific Islander,Male and Female, All Ages,Age-adjusted Rate,Incidence,12.5,2702,21796562
Other Biliary,2019,Asian/Pacific Islander,Male and Female, All Ages,Age-adjusted Rate,Incidence,2.2,445,21796562
Salivary Gland,2019,Asian/Pacific Islander,Male and Female, All Ages,Age-adjusted Rate,Incidence,0.9,204,21796562
Testis,2019,Asian/Pacific Islander,Male and Female, All Ages,Age-adjusted Rate,Incidence,2.1,241,10479841
Trachea Mediastinum and Other Respiratory Organs,2019,Asian/Pacific Islander,Male and Female, All Ages,Age-adjusted Rate,Incidence,0.1,34,21796562
Colon and Rectum,2019,Asian/Pacific Islander,Male and Female, All Ages,Age-adjusted Rate,Incidence,28.0,6072,21796562
Colon excluding Rectum,2019,Asian/Pacific Islander,Male and Female, All Ages,Age-adjusted Rate,Incidence,18.0,3874,21796562
Nasopharynx,2019,Asian/Pacific Islander,Male and Female, All Ages,Age-adjusted Rate,Incidence,1.9,434,21796562
Other Oral Cavity and Pharynx,2019,Asian/Pacific Islander,Male and Female, All Ages,Age-adjusted Rate,Incidence,Data Suppressed,Data Suppressed,Data Suppressed
Soft Tissue including Heart,2019,Asian/Pacific Islander,Male and Female, All Ages,Age-adjusted Rate,Incidence,2.4,529,21796562
Urinary Bladder,2019,Asian/Pacific Islander,Male and Female, All Ages,Age-adjusted Rate,Incidence,7.7,1588,21796562
Vagina,2019,Asian/Pacific Islander,Male and Female, All Ages,Age-adjusted Rate,Incidence,0.4,44,11316721
Other Male Genital Organs,2019,Asian/Pacific Islander,Male and Female, All Ages,Age-adjusted Rate,Incidence,0.2,22,10479841
Respiratory System,2019,Asian/Pacific Islander,Male and Female, All Ages,Age-adjusted Rate,Incidence,34.7,7378,21796562
Retroperitoneum,2019,Asian/Pacific Islander,Male and Female, All Ages,Age-adjusted Rate,Incidence,0.3,62,21796562
Hypopharynx,2019,Asian/Pacific Islander,Male and Female, All Ages,Age-adjusted Rate,Incidence,0.3,71,21796562
Other Female Genital Organs,2019,Asian/Pacific Islander,Male and Female, All Ages,Age-adjusted Rate,Incidence,1.6,202,11316721
Other Urinary Organs,2019,Asian/Pacific Islander,Male and Female, All Ages,Age-adjusted Rate,Incidence,0.2,48,21796562
Pancreas,2019,Asian/Pacific Islander,Male and Female, All Ages,Age-adjusted Rate,Incidence,9.4,1975,21796562
Skin excluding Basal and Squamous,2019,Asian/Pacific Islander,Male and Female, All Ages,Age-adjusted Rate,Incidence,1.9,416,21796562
Vulva,2019,Asian/Pacific Islander,Male and Female, All Ages,Age-adjusted Rate,Incidence,1.0,119,11316721
Brain and Other Nervous System,2019,Asian/Pacific Islander,Male and Female, All Ages,Age-adjusted Rate,Incidence,3.4,734,21796562
Lung and Bronchus,2019,Asian/Pacific Islander,Male and Female, All Ages,Age-adjusted Rate,Incidence,33.1,7007,21796562
Ovary,2019,Asian/Pacific Islander,Male and Female, All Ages,Age-adjusted Rate,Incidence,8.7,1055,11316721
Myeloma,2019,Asian/Pacific Islander,Male and Female, All Ages,Age-adjusted Rate,Incidence,3.9,843,21796562
Oropharynx,2019,Asian/Pacific Islander,Male and Female, All Ages,Age-adjusted Rate,Incidence,0.2,53,21796562
Other Non-Epithelial Skin,2019,Asian/Pacific Islander,Male and Female, All Ages,Age-adjusted Rate,Incidence,0.8,163,21796562
Tonsil,2019,Asian/Pacific Islander,Male and Female, All Ages,Age-adjusted Rate,Incidence,0.5,114,21796562
Female Breast,2019,Asian/Pacific Islander,Male and Female, All Ages,Age-adjusted Rate,Incidence,103.1,12486,11316721
Female Genital System,2019,Asian/Pacific Islander,Male and Female, All Ages,Age-adjusted Rate,Incidence,39.0,4774,11316721
Lip,2019,Asian/Pacific Islander,Male and Female, All Ages,Age-adjusted Rate,Incidence,0.1,21,21796562
Male and Female Breast in situ,2019,Asian/Pacific Islander,Male and Female, All Ages,Age-adjusted Rate,Incidence,17.4,3893,21796562
Penis,2019,Asian/Pacific Islander,Male and Female, All Ages,Age-adjusted Rate,Incidence,0.4,41,10479841
Peritoneum Omentum and Mesentery,2019,Asian/Pacific Islander,Male and Female, All Ages,Age-adjusted Rate,Incidence,0.3,63,21796562
Tongue,2019,Asian/Pacific Islander,Male and Female, All Ages,Age-adjusted Rate,Incidence,2.0,441,21796562
Other Endocrine including Thymus,2019,Asian/Pacific Islander,Male and Female, All Ages,Age-adjusted Rate,Incidence,0.9,191,21796562
Thyroid,2019,Asian/Pacific Islander,Male and Female, All Ages,Age-adjusted Rate,Incidence,14.5,3282,21796562
All Sites (comparable to ICD-O-2),2019,Black,Male and Female, All Ages,Age-adjusted Rate,Incidence,422.6,191978,46436481
Cervix,2019,Black,Male and Female, All Ages,Age-adjusted Rate,Incidence,8.2,1972,24137605
Male Genital System,2019,American Indian/Alaska Native,Male and Female, All Ages,Age-adjusted Rate,Incidence,58.8,1116,2395970
Melanomas of the Skin,2019,American Indian/Alaska Native,Male and Female, All Ages,Age-adjusted Rate,Incidence,5.3,214,4781187
Anus Anal Canal and Anorectum,2019,Asian/Pacific Islander,Male and Female, All Ages,Age-adjusted Rate,Incidence,0.5,115,21796562
Chronic Myeloid,2019,Asian/Pacific Islander,Male and Female, All Ages,Age-adjusted Rate,Incidence,1.0,225,21796562
Endocrine System,2019,Asian/Pacific Islander,Male and Female, All Ages,Age-adjusted Rate,Incidence,15.4,3473,21796562
Lymphomas,2019,Asian/Pacific Islander,Male and Female, All Ages,Age-adjusted Rate,Incidence,13.8,3000,21796562
Male Genital System,2019,Asian/Pacific Islander,Male and Female, All Ages,Age-adjusted Rate,Incidence,60.1,5927,10479841
Melanomas of the Skin,2019,Asian/Pacific Islander,Male and Female, All Ages,Age-adjusted Rate,Incidence,1.2,253,21796562
Miscellaneous,2019,American Indian/Alaska Native,Male and Female, All Ages,Age-adjusted Rate,Incidence,10.6,378,4781187
Stomach,2019,American Indian/Alaska Native,Male and Female, All Ages,Age-adjusted Rate,Incidence,5.1,198,4781187
Bones and Joints,2019,Black,Male and Female, All Ages,Age-adjusted Rate,Incidence,0.8,370,46436481
Cranial Nerves and Other Nervous System,2019,Asian/Pacific Islander,Male and Female, All Ages,Age-adjusted Rate,Incidence,0.2,47,21796562
Kaposi Sarcoma,2019,Asian/Pacific Islander,Male and Female, All Ages,Age-adjusted Rate,Incidence,0.1,25,21796562
Leukemias,2019,Asian/Pacific Islander,Male and Female, All Ages,Age-adjusted Rate,Incidence,7.3,1565,21796562
Other Digestive Organs,2019,Asian/Pacific Islander,Male and Female, All Ages,Age-adjusted Rate,Incidence,0.5,111,21796562
Ureter,2019,Asian/Pacific Islander,Male and Female, All Ages,Age-adjusted Rate,Incidence,0.6,132,21796562
Uterus NOS,2019,Asian/Pacific Islander,Male and Female, All Ages,Age-adjusted Rate,Incidence,0.8,99,11316721
Colon and Rectum,2019,Black,Male and Female, All Ages,Age-adjusted Rate,Incidence,39.8,17614,46436481
Colon excluding Rectum,2019,Black,Male and Female, All Ages,Age-adjusted Rate,Incidence,29.4,12898,46436481
Nasopharynx,2019,Black,Male and Female, All Ages,Age-adjusted Rate,Incidence,0.6,278,46436481
Other Oral Cavity and Pharynx,2019,Black,Male and Female, All Ages,Age-adjusted Rate,Incidence,0.1,64,46436481
Soft Tissue including Heart,2019,Black,Male and Female, All Ages,Age-adjusted Rate,Incidence,3.3,1474,46436481
Urinary Bladder,2019,Black,Male and Female, All Ages,Age-adjusted Rate,Incidence,10.8,4563,46436481
Mesothelioma,2019,Asian/Pacific Islander,Male and Female, All Ages,Age-adjusted Rate,Incidence,0.3,63,21796562
Urinary System,2019,Asian/Pacific Islander,Male and Female, All Ages,Age-adjusted Rate,Incidence,16.4,3508,21796562
Kidney and Renal Pelvis,2019,Black,Male and Female, All Ages,Age-adjusted Rate,Incidence,18.4,8432,46436481
Mesothelioma,2019,Black,Male and Female, All Ages,Age-adjusted Rate,Incidence,0.4,160,46436481
Urinary System,2019,Black,Male and Female, All Ages,Age-adjusted Rate,Incidence,29.9,13282,46436481
Vagina,2019,Black,Male and Female, All Ages,Age-adjusted Rate,Incidence,0.9,213,24137605
Corpus,2019,Black,Male and Female, All Ages,Age-adjusted Rate,Incidence,26.1,7002,24137605
Eye and Orbit,2019,Black,Male and Female, All Ages,Age-adjusted Rate,Incidence,0.3,122,46436481
Nose Nasal Cavity and Middle Ear,2019,Black,Male and Female, All Ages,Age-adjusted Rate,Incidence,0.6,248,46436481
Pleura,2019,Black,Male and Female, All Ages,Age-adjusted Rate,Incidence,Data Suppressed,Data Suppressed,Data Suppressed
Small Intestine,2019,Black,Male and Female, All Ages,Age-adjusted Rate,Incidence,3.9,1764,46436481
Male and Female Breast,2019,Asian/Pacific Islander,Male and Female, All Ages,Age-adjusted Rate,Incidence,56.4,12550,21796562
All Cancer Sites Combined,2019,American Indian/Alaska Native,Male and Female, All Ages,Age-adjusted Rate,Incidence,268.7,10792,4781187
Esophagus,2019,American Indian/Alaska Native,Male and Female, All Ages,Age-adjusted Rate,Incidence,3.4,133,4781187
Other Leukemias,2019,American Indian/Alaska Native,Male and Female, All Ages,Age-adjusted Rate,Incidence,1.0,38,4781187
Prostate,2019,American Indian/Alaska Native,Male and Female, All Ages,Age-adjusted Rate,Incidence,54.0,1007,2395970
